PMID,Review_Paper,Review,Combined,Generated_zeroshot_cot_GPT4_Ensemble,Label,Generated_zeroshot_cot_GPT4_Ensemble_TF,Name,Likelihood
35027731,No,Yes,"Paper:
Title: BRD2 inhibition blocks SARS-CoV-2 infection by reducing transcription of the host cell receptor ACE2
Abstract: SARS-CoV-2 infection of human cells is initiated by the binding of the viral Spike protein to its cell-surface receptor ACE2. We conducted a targeted CRISPRi screen to uncover druggable pathways controlling Spike protein binding to human cells. Here we show that the protein BRD2 is required for ACE2 transcription in human lung epithelial cells and cardiomyocytes, and BRD2 inhibitors currently evaluated in clinical trials potently block endogenous ACE2 expression and SARS-CoV-2 infection of human cells, including those of human nasal epithelia. Moreover, pharmacological BRD2 inhibition with the drug ABBV-744 inhibited SARS-CoV-2 replication in Syrian hamsters. We also found that BRD2 controls transcription of several other genes induced upon SARS-CoV-2 infection, including the interferon response, which in turn regulates the antiviral response. Together, our results pinpoint BRD2 as a potent and essential regulator of the host response to SARS-CoV-2 infection and highlight the potential of BRD2 as a therapeutic target for COVID-19.","Yes, this paper does identify an existing drug target using a wet-lab approach.

In the paper, the authors identify BRD2, a protein, as a critical regulator of ACE2 transcription, which is the receptor used by SARS-CoV-2 to gain entry into human cells. Therefore, BRD2 becomes a point of interest as a potential drug target to control SARS-CoV-2 infection.

To uncover this target, the authors conducted a targeted CRISPRi (CRISPR interference) screen, which is a wet-lab technique involving genetic manipulation to knock down or degrade specific biological targets. The aim of the CRISPRi screen in this context was to discover druggable pathways that control the binding of the SARS-CoV-2 Spike protein to human cells.

The authors also tested the effect of a known BRD2 inhibitor, ABBV-744, both in vitro (human cells) and in vivo (Syrian hamsters), and found that it effectively blocked SARS-CoV-2 infection and replication. These experiments that involve inhibition studies in a physical lab setup also qualify as wet-lab approaches.

In summary, this paper used a combination of genetic screening and drug inhibition studies to identify BRD2 as a potential drug target for controlling SARS-CoV-2 infection, which constitutes the usage of a wet-lab approach.

Final Answer: Yes.",1,1,"{
  ""drug_targets"": [""BRD2"", ""ACE2""]
}",10
35149555,No,Yes,"Paper:
Title: Targeting stem-loop 1 of the SARS-CoV-2 5' UTR to suppress viral translation and Nsp1 evasion
Keywords: SARS-CoV-2; therapeutic; translation.
Abstract: SARS-CoV-2 is a highly pathogenic virus that evades antiviral immunity by interfering with host protein synthesis, mRNA stability, and protein trafficking. The SARS-CoV-2 nonstructural protein 1 (Nsp1) uses its C-terminal domain to block the messenger RNA (mRNA) entry channel of the 40S ribosome to inhibit host protein synthesis. However, how SARS-CoV-2 circumvents Nsp1-mediated suppression for viral protein synthesis and if the mechanism can be targeted therapeutically remain unclear. Here, we show that N- and C-terminal domains of Nsp1 coordinate to drive a tuned ratio of viral to host translation, likely to maintain a certain level of host fitness while maximizing replication. We reveal that the stem-loop 1 (SL1) region of the SARS-CoV-2 5' untranslated region (5' UTR) is necessary and sufficient to evade Nsp1-mediated translational suppression. Targeting SL1 with locked nucleic acid antisense oligonucleotides inhibits viral translation and makes SARS-CoV-2 5' UTR vulnerable to Nsp1 suppression, hindering viral replication in vitro at a nanomolar concentration, as well as providing protection against SARS-CoV-2-induced lethality in transgenic mice expressing human ACE2. Thus, SL1 allows Nsp1 to switch infected cells from host to SARS-CoV-2 translation, presenting a therapeutic target against COVID-19 that is conserved among immune-evasive variants. This unique strategy of unleashing a virus' own virulence mechanism against itself could force a critical trade-off between drug resistance and pathogenicity.","The paper does indeed identify a potential drug target using a wet-lab approach. The researchers here have identified the stem-loop 1 (SL1) region of the SARS-CoV-2 5' untranslated region (5' UTR) as a key player in the virus's mechanism to evade the host's immune response, specifically, the suppression caused by the virus's nonstructural protein 1 (Nsp1).

Nsp1, produced by SARS-CoV-2, is known to inhibit host protein synthesis by blocking the mRNA entry channel of the host's 40S ribosome. The virus, however, must circumvent this Nsp1-mediated suppression to allow for its own protein synthesis, necessary for viral replication. The researchers have found that the SL1 region of the virus's 5' UTR plays a crucial role in this evasion mechanism.

They investigated this hypothesis using locked nucleic acid antisense oligonucleotides to target SL1, a strategy which they found inhibits viral translation and makes the SARS-CoV-2 5' UTR vulnerable to Nsp1 suppression. This in turn hinders viral replication, as shown in their in vitro experiments. They also found that this approach provides protection against SARS-CoV-2-induced lethality in transgenic mice expressing human ACE2.

Thus, they effectively identified the SL1 region of the SARS-CoV-2 5' UTR as a potential drug target and validated this using wet-lab techniques, namely in vitro assays and in vivo studies in transgenic mice.

Final answer: Yes.",1,1,"{""drug_targets"": [""stem-loop 1 (SL1) region of the SARS-CoV-2 5' untranslated region (5' UTR)""]}",10
33473130,No,Yes,"Paper:
Title: The complex structure of GRL0617 and SARS-CoV-2 PLpro reveals a hot spot for antiviral drug discovery
Abstract: SARS-CoV-2 is the pathogen responsible for the COVID-19 pandemic. The SARS-CoV-2 papain-like cysteine protease (PLpro) has been implicated in playing important roles in virus maturation, dysregulation of host inflammation, and antiviral immune responses. The multiple functions of PLpro render it a promising drug target. Therefore, we screened a library of approved drugs and also examined available inhibitors against PLpro. Inhibitor GRL0617 showed a promising in vitro IC50 of 2.1 Î¼M and an effective antiviral inhibition in cell-based assays. The co-crystal structure of SARS-CoV-2 PLproC111S in complex with GRL0617 indicates that GRL0617 is a non-covalent inhibitor and it resides in the ubiquitin-specific proteases (USP) domain of PLpro. NMR data indicate that GRL0617 blocks the binding of ISG15 C-terminus to PLpro. Using truncated ISG15 mutants, we show that the C-terminus of ISG15 plays a dominant role in binding PLpro. Structural analysis reveals that the ISG15 C-terminus binding pocket in PLpro contributes a disproportionately large portion of binding energy, thus this pocket is a hot spot for antiviral drug discovery targeting PLpro.","The paper titled ""The complex structure of GRL0617 and SARS-CoV-2 PLpro reveals a hot spot for antiviral drug discovery"" describes a wet-lab approach to identifying a potential drug target in the fight against SARS-CoV-2, the virus responsible for COVID-19.

The protein targeted in this study, known as papain-like cysteine protease (PLpro), is part of the SARS-CoV-2 virus and plays crucial roles in virus maturation, as well as the dysregulation of host inflammation and antiviral immune responses. Therefore, PLpro is already intrinsically associated with the disease process of COVID-19, thus fulfilling the definition of a drug target.

The researchers employed wet-lab techniques, including in vitro assays to test the binding and inhibitory activity of the compound GRL0617 against PLpro. The paper notes that GRL0617 demonstrated promising in vitro IC50 values, indicating its ability to inhibit 50% of the PLpro activity at a concentration of 2.1 ?M. The effectiveness of GRL0617 was further validated through cell-based assays, which provided further experimental evidence for its antiviral properties.

Moreover, the study used biophysical techniques to determine the structure of the complex formed between PLpro and GRL0617, showing that GRL0617 acts as a non-covalent inhibitor within the ubiquitin-specific proteases (USP) domain of PLpro. NMR data and studies with truncated ISG15 mutants were also employed to show that GRL0617 blocks the binding of the ISG15 C-terminus to PLpro.

The use of these experimental approaches, which encompass both in vitro and in vivo assays as well as biophysical techniques for structure determination, clearly falls under the umbrella of wet-lab approaches. Furthermore, these findings reveal that the ISG15 C-terminus binding pocket in PLpro is a hot spot for antiviral drug discovery, thus indicating a potential drug target.

Final Answer: Yes. This paper identifies both an existing (PLpro) and potential (ISG15 C-terminus binding pocket in PLpro) drug target using a wet-lab approach.",1,1,"{
  ""drug_targets"": [""papain-like cysteine protease (PLpro)"", ""ISG15 C-terminus binding pocket in PLpro""]
}",10
34838409,No,Yes,"Paper:
Title: Inhibition of the SARS-CoV-2 3CLpro main protease by plant polyphenols
Keywords: 3CL(pro); 4-hydroxy-3-nitrophenylacetic acid (PubChem CID: 447364); COVID-19; Edible plants; Polyphenols; Protease inhibitor; SARS-CoV-2; caffeic acid (PubChem CID: 689043); chlorogenic acid (PubChem CID: 1794427); curcumin (PubChem CID: 969516); ellagic acid (PubChem CID: 5281855); epigallocatechin gallate (PubChem CID: 65064); ferulic acid (PubChem CID: 445858); galangin (PubChem CID: 5281616); isorhamnetin (PubChem CID: 5281654); kaempferol (PubChem CID: 5280863); kaempferol-rutinoside (PubChem CID:5318767); phlorizin (PubChem CID: 6072); protocatechuic acid (PubChem CID: 72); quercetin (PubChem CID: 5280343); quinic acid (PubChem CID: 6508); resveratrol (PubChem CID: 445154); sinapic acid (PubChem CID: 637775); syringic acid (PubChem CID: 10742); umbellic acid (PubChem CID: 446611).
Abstract: The abundance of polyphenols in edible plants makes them an important component of human nutrition. Considering the ongoing COVID-19 pandemic, a number of studies have investigated polyphenols as bioactive constituents. We applied in-silico molecular docking as well as molecular dynamics supported by in-vitro assays to determine the inhibitory potential of various plant polyphenols against an important SARS-CoV-2 therapeutic target, the protease 3CLpro. Of the polyphenols in initial in-vitro screening, quercetin, ellagic acid, curcumin, epigallocatechin gallate and resveratrol showed IC50 values of 11.8 ÂµM to 23.4 ÂµM. In-silico molecular dynamics simulations indicated stable interactions with the 3CLpro active site over 100 ns production runs. Moreover, surface plasmon resonance spectroscopy was used to measure the binding of polyphenols to 3CLpro in real time. Therefore, we provide evidence for inhibition of SARS-CoV-2 3CLpro by natural plant polyphenols, and suggest further research into the development of these novel 3CLpro inhibitors or biochemical probes.","The paper primarily focuses on the inhibition of a SARS-CoV-2 protein called 3CLpro, also known as the main protease, by various plant polyphenols. In the context of SARS-CoV-2, 3CLpro is a crucial protein that the virus uses for its replication, and hence it represents a potential drug target. The authors utilized a combination of in-silico (computational) and in-vitro (wet-lab) approaches to determine the potential of these polyphenols as inhibitors of 3CLpro.

The in-silico approach involved molecular docking and molecular dynamics simulations to predict how well the polyphenols might bind to the 3CLpro protein. This is a computational method and does not count as a wet-lab approach.

The in-vitro approach, however, does meet the definition of a wet-lab method. It involved a screening test to measure the inhibitory potential (IC50 values) of the polyphenols against the 3CLpro enzyme. This is a hands-on laboratory experiment that physically tests how well these compounds can inhibit the enzyme in a test tube setting. Another in-vitro experiment that was used is surface plasmon resonance spectroscopy, a biophysical technique that allows for real-time measurement of molecular binding, which in this case was between the polyphenols and 3CLpro.

Final Answer: Yes, this paper does identify an existing potential drug target, the 3CLpro of SARS-CoV-2, using a wet-lab approach.",1,1,"{""drug_targets"": [""3CLpro""]}


",10
33979123,No,Yes,"Paper:
Title: Small-Molecule Inhibitors of the Coronavirus Spike: ACE2 Protein-Protein Interaction as Blockers of Viral Attachment and Entry for SARS-CoV-2
Keywords: ACE2; SARS-CoV-2; antiviral; coronavirus; proteinâprotein interaction; spike protein.
Abstract: Inhibitors of the protein-protein interaction (PPI) between the SARS-CoV-2 spike protein and human ACE2 (hACE2), which acts as a ligand-receptor pair that initiates the viral attachment and cellular entry of this coronavirus causing the ongoing COVID-19 pandemic, are of considerable interest as potential antiviral agents. While blockade of such PPIs with small molecules is more challenging than that with antibodies, small-molecule inhibitors (SMIs) might offer alternatives that are less strain- and mutation-sensitive, suitable for oral or inhaled administration, and more controllable/less immunogenic. Here, we report the identification of SMIs of this PPI by screening our compound library focused around the chemical space of organic dyes. Among promising candidates identified, several dyes (Congo red, direct violet 1, Evans blue) and novel druglike compounds (DRI-C23041, DRI-C91005) inhibited the interaction of hACE2 with the spike proteins of SARS-CoV-2 as well as SARS-CoV with low micromolar activity in our cell-free ELISA-type assays (IC50's of 0.2-3.0 Î¼M), whereas control compounds, such as sunset yellow FCF, chloroquine, and suramin, showed no activity. Protein thermal shift assays indicated that the SMIs of interest identified here bind SARS-CoV-2-S and not hACE2. While dyes seemed to be promiscuous inhibitors, DRI-C23041 showed some selectivity and inhibited the entry of two different SARS-CoV-2-S expressing pseudoviruses into hACE2-expressing cells in a concentration-dependent manner with low micromolar IC50's (6-7 Î¼M). This provides proof-of-principle evidence for the feasibility of small-molecule inhibition of PPIs critical for SARS-CoV-2 attachment/entry and serves as a first guide in the search for SMI-based alternative antiviral therapies for the prevention and treatment of diseases caused by coronaviruses in general and COVID-19 in particular.","This paper does indeed focus on a critical drug target for COVID-19 using a wet-lab approach. The target in question is the protein-protein interaction (PPI) between the SARS-CoV-2 spike protein and human ACE2 (hACE2). The SARS-CoV-2 spike protein is what the virus uses to enter human cells. It does so by binding to the hACE2 receptor on human cells, which initiates viral attachment and cellular entry. Therefore, if a molecule can be identified that effectively inhibits this interaction, it has the potential to prevent the virus from entering human cells and, thereby, prevent the infection.

The wet-lab approach utilized in this study involved screening a compound library for potential small-molecule inhibitors (SMIs) of this PPI. In particular, the researchers focused on the chemical space of organic dyes. They then tested promising candidates using cell-free ELISA-type assays and protein thermal shift assays. The ELISA-type assays provided a measure of each candidate's ability to inhibit the PPI (its IC50), while the protein thermal shift assays provided evidence for which of the two proteins in the PPI (SARS-CoV-2 spike protein or hACE2) the SMIs bound to.

A few molecules were found to inhibit the interaction of hACE2 with the spike proteins of SARS-CoV-2 with low micromolar activity. Specifically, they found that dyes such as Congo red, direct violet 1, Evans blue, and two novel druglike compounds (DRI-C23041, DRI-C91005) were effective in inhibiting the interaction, while control compounds like sunset yellow FCF, chloroquine, and suramin showed no activity.

The study also confirmed that the effective SMIs bind to the SARS-CoV-2 spike protein and not the hACE2. It's worth noting that the small-molecule inhibitor DRI-C23041 also inhibited the entry of two different SARS-CoV-2-S expressing pseudoviruses into hACE2-expressing cells, which is another proof-of-principle evidence for the feasibility of small-molecule inhibition of PPIs critical for SARS-CoV-2 attachment and entry.

Final answer: Yes.",1,1,"
{""drug_targets"": [""SARS-CoV-2 spike protein and human ACE2 (hACE2) protein-protein interaction""]}",10
34635581,No,Yes,"Paper:
Title: A novel class of TMPRSS2 inhibitors potently block SARS-CoV-2 and MERS-CoV viral entry and protect human epithelial lung cells
Keywords: COVID-19; PS-SCL; antiviral; protease inhibitor; structure-based drug discovery.
Abstract: The host cell serine protease TMPRSS2 is an attractive therapeutic target for COVID-19 drug discovery. This protease activates the Spike protein of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and of other coronaviruses and is essential for viral spread in the lung. Utilizing rational structure-based drug design (SBDD) coupled to substrate specificity screening of TMPRSS2, we have discovered covalent small-molecule ketobenzothiazole (kbt) TMPRSS2 inhibitors which are structurally distinct from and have significantly improved activity over the existing known inhibitors Camostat and Nafamostat. Lead compound MM3122 (4) has an IC50 (half-maximal inhibitory concentration) of 340 pM against recombinant full-length TMPRSS2 protein, an EC50 (half-maximal effective concentration) of 430 pM in blocking host cell entry into Calu-3 human lung epithelial cells of a newly developed VSV-SARS-CoV-2 chimeric virus, and an EC50 of 74 nM in inhibiting cytopathic effects induced by SARS-CoV-2 virus in Calu-3 cells. Further, MM3122 blocks Middle East respiratory syndrome coronavirus (MERS-CoV) cell entry with an EC50 of 870 pM. MM3122 has excellent metabolic stability, safety, and pharmacokinetics in mice, with a half-life of 8.6 h in plasma and 7.5 h in lung tissue, making it suitable for in vivo efficacy evaluation and a promising drug candidate for COVID-19 treatment.","The paper identifies TMPRSS2, a host cell serine protease, as an attractive therapeutic target for COVID-19 drug discovery. The paper mentions that this protease is essential for viral spread in the lungs as it activates the Spike protein of SARS-CoV-2, the virus causing COVID-19, as well as other coronaviruses.

Regarding the approach, it's clear that the researchers used a combination of computational (rational structure-based drug design) and experimental (wet-lab) methods. They developed small-molecule ketobenzothiazole (kbt) TMPRSS2 inhibitors using rational structure-based drug design (SBDD). This is a computational approach that uses the knowledge of the three-dimensional structure of the biological target to design drugs.

In the wet-lab part, they performed substrate specificity screening of TMPRSS2. Also, they evaluated the efficacy of their lead compound, MM3122, in several experiments. These included in vitro assays to measure the IC50 against recombinant full-length TMPRSS2 protein, and the EC50 in blocking host cell entry into Calu-3 human lung epithelial cells of a newly developed VSV-SARS-CoV-2 chimeric virus. They also measured the EC50 in inhibiting cytopathic effects induced by SARS-CoV-2 virus in Calu-3 cells.

Hence, the paper did identify a drug target (TMPRSS2) and evaluated a drug candidate (MM3122) using both computational and wet-lab approaches.

Final Answer: Yes.",1,1,"{""drug_targets"": [""TMPRSS2""]}



",10
35609344,No,Yes,"Paper:
Title: Pyronaridine Protects against SARS-CoV-2 Infection in Mouse
Keywords: SARS-CoV-2; antiviral; pyronaridine; spike protein.
Abstract: There are currently relatively few small-molecule antiviral drugs that are either approved or emergency-approved for use against severe acute respiratory coronavirus 2 (SARS-CoV-2). One of these is remdesivir, which was originally repurposed from its use against Ebola. We evaluated three molecules we had previously identified computationally with antiviral activity against Ebola and Marburg and identified pyronaridine, which inhibited the SARS-CoV-2 replication in A549-ACE2 cells. The in vivo efficacy of pyronaridine has now been assessed in a K18-hACE transgenic mouse model of COVID-19. Pyronaridine treatment demonstrated a statistically significant reduction of viral load in the lungs of SARS-CoV-2-infected mice, reducing lung pathology, which was also associated with significant reduction in the levels of pro-inflammatory cytokines/chemokine and cell infiltration. Pyronaridine inhibited the viral PLpro activity in vitro (IC50 of 1.8 Î¼M) without any effect on Mpro, indicating a possible molecular mechanism involved in its ability to inhibit SARS-CoV-2 replication. We have also generated several pyronaridine analogs to assist in understanding the structure activity relationship for PLpro inhibition. Our results indicate that pyronaridine is a potential therapeutic candidate for COVID-19.","The paper describes the use of an existing drug, pyronaridine, for the potential treatment of COVID-19. The authors suggest that pyronaridine's potential therapeutic effect is due to its ability to inhibit SARS-CoV-2 replication in a specific model of human lung cells (A549-ACE2 cells) and in a mouse model of COVID-19 (K18-hACE transgenic mice). The paper suggests that the mechanism of action of pyronaridine is through the inhibition of the viral PLpro (papain-like protease) activity. The PLpro is an enzyme that is part of the virus's replication machinery, making it a possible drug target for SARS-CoV-2. The researchers assessed the effectiveness of pyronaridine using both in vitro and in vivo experiments, thus using a wet-lab approach.

Specifically, the paper identifies PLpro as the target of pyronaridine, which is determined using in vitro assays (IC50 determination). These in vitro assays are a part of wet-lab approaches, which are non-computational experimental methods to study biological phenomena. The authors also generated several pyronaridine analogs to further understand the structure-activity relationship for PLpro inhibition, which again points towards the usage of a wet-lab approach for determining the molecular target.

The in vivo studies in the K18-hACE transgenic mouse model of COVID-19 also involved determining the effect of pyronaridine on viral load, lung pathology, and levels of pro-inflammatory cytokines/chemokine and cell infiltration. These are also components of a wet-lab approach.

Final Answer: Yes",1,1,"{
    ""drug_targets"": [""PLpro""]
}",10
32939952,No,Yes,"Paper:
Title: Targeting RNA G-Quadruplex in SARS-CoV-2: A Promising Therapeutic Target for COVID-19?
Keywords: G-quadruplex; RNA; drug discovery; inhibitors; viruses.
Abstract: The COVID-19 pandemic caused by SARS-CoV-2 has become a global threat. Understanding the underlying mechanisms and developing innovative treatments are extremely urgent. G-quadruplexes (G4s) are important noncanonical nucleic acid structures with distinct biofunctions. Four putative G4-forming sequences (PQSs) in the SARS-CoV-2 genome were studied. One of them (RG-1), which locates in the coding sequence region of SARS-CoV-2 nucleocapsid phosphoprotein (N), has been verified to form a stable RNA G4 structure in live cells. G4-specific compounds, such as PDP (pyridostatin derivative), can stabilize RG-1 G4 and significantly reduce the protein levels of SARS-CoV-2 N by inhibiting its translation both in vitro and in vivo. This result is the first evidence that PQSs in SARS-CoV-2 can form G4 structures in live cells, and that their biofunctions can be regulated by a G4-specific stabilizer. This finding will provide new insights into developing novel antiviral drugs against COVID-19.","The paper ""Targeting RNA G-Quadruplex in SARS-CoV-2: A Promising Therapeutic Target for COVID-19?"" indeed identifies a potential drug target using a wet-lab approach. It focuses on the G-quadruplexes (G4s), which are noncanonical nucleic acid structures, in the genome of SARS-CoV-2. Specifically, it targets one putative G4-forming sequence (PQS) called RG-1 that is located within the coding sequence region of SARS-CoV-2 nucleocapsid phosphoprotein (N).

The authors of the study were able to verify the formation of a stable RNA G4 structure from the RG-1 sequence in live cells. This process was most likely determined using a wet-lab approach, as it would involve direct observation and experimentation in a laboratory setting.

Furthermore, the study investigated the effect of G4-specific compounds like PDP (a pyridostatin derivative) on the identified target. They found that PDP was able to stabilize the RG-1 G4 structure and significantly reduce the protein levels of the SARS-CoV-2 nucleocapsid phosphoprotein by inhibiting its translation. This was established both in vitro (outside a living organism, such as in a petri dish or test tube) and in vivo (inside a living organism), methods which are both typically associated with wet-lab work.

Hence, the paper not only identifies a new potential drug target, but also demonstrates the effect of a specific molecule (PDP) on this target using wet-lab techniques. This could potentially lead to the development of novel antiviral drugs against COVID-19 by targeting the identified G-quadruplex in the SARS-CoV-2 genome.

Final Answer: Yes.",1,1,"{
  ""drug_targets"": [""RNA G-Quadruplex in SARS-CoV-2"", ""RG-1 sequence in SARS-CoV-2 nucleocapsid phosphoprotein""]
}",10
34292870,No,Yes,"Paper:
Title: Inhalable nanocatchers for SARS-CoV-2 inhibition
Keywords: SARS-CoV-2; hACE2-containing nanocatchers; inhalation; mucoadhesive; virus inhibitor.
Abstract: The global coronavirus disease 2019 (COVID-19) pandemic, caused by severe acute respiratory syndrome (SARS)-like coronavirus (SARS-CoV-2), presents an urgent health crisis. More recently, an increasing number of mutated strains of SARS-CoV-2 have been identified globally. Such mutations, especially those on the spike glycoprotein to render its higher binding affinity to human angiotensin-converting enzyme II (hACE2) receptors, not only resulted in higher transmission of SARS-CoV-2 but also raised serious concerns regarding the efficacies of vaccines against mutated viruses. Since ACE2 is the virus-binding protein on human cells regardless of viral mutations, we design hACE2-containing nanocatchers (NCs) as the competitor with host cells for virus binding to protect cells from SARS-CoV-2 infection. The hACE2-containing NCs, derived from the cellular membrane of genetically engineered cells stably expressing hACE2, exhibited excellent neutralization ability against pseudoviruses of both wild-type SARS-CoV-2 and the D614G variant. To prevent SARS-CoV-2 infections in the lung, the most vulnerable organ for COVID-19, we develop an inhalable formulation by mixing hACE2-containing NCs with mucoadhesive excipient hyaluronic acid, the latter of which could significantly prolong the retention of NCs in the lung after inhalation. Excitingly, inhalation of our formulation could lead to potent pseudovirus inhibition ability in hACE2-expressing mouse model, without imposing any appreciable side effects. Importantly, our inhalable hACE2-containing NCs in the lyophilized formulation would allow long-term storage, facilitating their future clinical use. Thus, this work may provide an alternative tactic to inhibit SARS-CoV-2 infections even with different mutations, exhibiting great potential for treatment of the ongoing COVID-19 epidemic.","The paper presents the development of a novel approach to prevent SARS-CoV-2 infections by using inhalable hACE2-containing nanocatchers (NCs). The proposed target for these nanocatchers is not a novel or traditional drug target such as a specific protein or an enzyme, but rather the virus itself, specifically its spike glycoprotein which binds to human angiotensin-converting enzyme II (hACE2) receptors. This is the point of attack for SARS-CoV-2 as it uses this binding to enter host cells and initiate an infection. The nanocatchers, which are derived from the cellular membrane of genetically engineered cells stably expressing hACE2, are designed to act as competitors for virus binding, thus potentially preventing the virus from interacting with host cells.

Regarding the wet-lab approach, the paper indicates that these hACE2-containing nanocatchers were tested for their neutralization ability against pseudoviruses of both wild-type SARS-CoV-2 and the D614G variant. Additionally, an inhalable formulation of the nanocatchers was developed and tested for its ability to inhibit pseudoviruses in an hACE2-expressing mouse model. Both of these studies would require physical experimentation in a laboratory setting and therefore can be classified as a wet-lab approach.

Final Answer: Yes, this paper does identify a potential drug target using a wet-lab approach.",1,1,"{
  ""drug_targets"": [""spike glycoprotein of SARS-CoV-2"", ""human angiotensin-converting enzyme II (hACE2) receptors""]
}",10
36080498,No,Yes,"Paper:
Title: New Chemicals Suppressing SARS-CoV-2 Replication in Cell Culture
Keywords: SARS-CoV-2 replication; cell culture; docking; inhibitors; main protease; quantum chemistry.
Abstract: Candidates to being inhibitors of the main protease (Mpro) of SARS-CoV-2 were selected from the database of Voronezh State University using molecular modeling. The database contained approximately 19,000 compounds represented by more than 41,000 ligand conformers. These ligands were docked into Mpro using the SOL docking program. For one thousand ligands with best values of the SOL score, the protein-ligand binding enthalpy was calculated by the PM7 quantum-chemical method with the COSMO solvent model. Using the SOL score and the calculated protein-ligand binding enthalpies, eighteen compounds were selected for the experiments. Several of these inhibitors suppressed the replication of the coronavirus in cell culture, and we used the best three among them in the search for chemical analogs. Selection among analogs using the same procedure followed by experiments led to identification of seven inhibitors of the SARS-CoV-2 replication in cell culture with EC50 values at the micromolar level. The identified inhibitors belong to three chemical classes. The three inhibitors, 4,4-dimethyldithioquinoline derivatives, inhibit SARS-CoV-2 replication in Vero E6 cell culture just as effectively as the best published non-covalent inhibitors, and show low cytotoxicity. These results open up a possibility to develop antiviral drugs against the SARS-CoV-2 coronavirus.","This paper details a study that used a combined approach of computational modelling and wet-lab testing to identify potential inhibitors of SARS-CoV-2 replication in cell culture. The specific target the researchers were interested in was the main protease (Mpro) of SARS-CoV-2. Mpro is a key enzyme that plays a vital role in mediating viral replication and transcription, making it a prime target for antiviral drug development.

The researchers first used computational methods to screen a large database of chemical compounds and identify those with potential binding affinity for the Mpro. From this selection, eighteen compounds were chosen based on their SOL score (a measure of docking, i.e., binding, efficiency) and their calculated protein-ligand binding enthalpy, which reflects the energy involved in the binding process. This part of the research can be considered a dry-lab approach as it involves computational simulation.

The selected compounds were then tested in a wet-lab setting to evaluate their ability to suppress SARS-CoV-2 replication in cell culture. Several of the tested compounds showed promising results, and further selection and testing identified seven inhibitors with effective concentration (EC50) values at the micromolar level. Among these, three were found to inhibit SARS-CoV-2 replication just as effectively as the best published non-covalent inhibitors and showed low cytotoxicity. These inhibitors belong to the 4,4-dimethyldithioquinoline chemical class.

Therefore, while this paper does not directly identify a new potential drug target, it does involve the use of a wet-lab approach to validate computationally predicted inhibitors for an already identified drug target (the main protease of SARS-CoV-2).

Final answer: Yes.",1,1,"{""drug_targets"": [""main protease (Mpro) of SARS-CoV-2""]}


",10
